Saffron Detection Run — 20260526_134507
Mode            : real
Scenes          : 1111
Total detected  : 6096
Mean detected   : 5.5
Mean avg score  : 0.4014
Highest score   : 0.7591
Best scene      : Image_151_jpg.rf.spV9r9WrtXpibKOiJoFo.jpg
Threshold       : 0.45
Ensemble weights: RF=0.35, CNN=0.35, HSV=0.2, Depth=0.1

Scene                             Det   AvgScore   MaxScore
  Image_125_jpg.rf.aa7cpx7K9X8      0     0.0000     0.0000
  Image_126_jpg.rf.CTZ8d3VNoDX      3     0.5701     0.5934
  Image_127_jpg.rf.LccIpdsTctD      7     0.5014     0.5158
  Image_128_jpg.rf.A288RXnbdwe      5     0.5799     0.5873
  Image_129_jpg.rf.KbrRByshD7d      0     0.0000     0.0000
  Image_12_jpg.rf.iamGRq8ZstEd      1     0.4784     0.4784
  Image_130_jpg.rf.nlf9GJ9UgLb      0     0.0000     0.0000
  Image_131_jpg.rf.uTbafaQcyhN      0     0.0000     0.0000
  Image_132_jpg.rf.r5E9R55Ax5v      0     0.0000     0.0000
  Image_133_jpg.rf.ArnBqVdUXmH      1     0.4576     0.4576
  Image_134_jpg.rf.mjcK32ElmCk      9     0.4924     0.5268
  Image_135_jpg.rf.63YZt5Z7tBz      0     0.0000     0.0000
  Image_136_jpg.rf.2Tq3TUz3G3H      2     0.4970     0.5435
  Image_137_jpg.rf.ZuUCDIHVvVh      0     0.0000     0.0000
  Image_138_jpeg.rf.c7CXoYotoK      9     0.5043     0.5555
  Image_139_jpg.rf.GlOqjsA2OPz      3     0.4853     0.5158
  Image_140_jpg.rf.Slc3QMk0OqW      0     0.0000     0.0000
  Image_141_jpg.rf.ni5cZFE4NmW      9     0.6233     0.6822
  Image_142_jpg.rf.y4CHTtI6ZZw      1     0.4580     0.4580
  Image_143_jpg.rf.kTlQ1Ng0OYi      1     0.4779     0.4779
  Image_144_jpg.rf.jvJzGg5Npao      0     0.0000     0.0000
  Image_145_jpg.rf.Bkrti4cBNdj      1     0.4502     0.4502
  Image_146_jpg.rf.SFDE7joghml      2     0.5638     0.5725
  Image_147_jpg.rf.0ObOLmbo8kC      2     0.5820     0.6053
  Image_148_jpg.rf.MtqxdZ5CMCs      7     0.4920     0.5197
  Image_149_jpg.rf.ZdJSVGJdqhC      0     0.0000     0.0000
  Image_14_jpg.rf.ehPRFk4J6seb      0     0.0000     0.0000
  Image_150_jpg.rf.M97gRHcPskN     13     0.5533     0.6358
  Image_151_jpg.rf.spV9r9WrtXp     47     0.5527     0.5849
  Image_152_jpg.rf.DW6uvb1xgq0      1     0.5356     0.5356
  Image_153_jpg.rf.BAALrGntehK     20     0.6480     0.6901
  Image_154_jpg.rf.3ZMwsHLPlwF      0     0.0000     0.0000
  Image_155_jpg.rf.ST5Tqojx883      2     0.5592     0.5776
  Image_156_jpg.rf.y2wjGqwGi7J      0     0.0000     0.0000
  Image_157_jpg.rf.1Cq4R4UGIHv      3     0.4989     0.5149
  Image_158_jpg.rf.ecWDu0q9rGt      1     0.5834     0.5834
  Image_159_jpg.rf.wSbDGELQOQ7      2     0.5718     0.6618
  Image_15_jpg.rf.OvOxW6zz53Qp      4     0.5398     0.5723
  Image_162_jpg.rf.yUQ84eFTqs6      0     0.0000     0.0000
  Image_164_jpg.rf.kuFqHoxps1M      0     0.0000     0.0000
  Image_166_jpg.rf.XPzfgXFnDop      0     0.0000     0.0000
  Image_167_jpg.rf.MyMNMHommcC      3     0.5544     0.5620
  Image_168_jpg.rf.uLPwoI2B0kk     17     0.5164     0.5464
  Image_169_jpg.rf.ggubZ3lyn5q      0     0.0000     0.0000
  Image_170_jpg.rf.LGw47Jirt7I      0     0.0000     0.0000
  Image_171_jpg.rf.HQZ54VkNdRU      0     0.0000     0.0000
  Image_175_jpg.rf.DdTNjjamWcb      0     0.0000     0.0000
  Image_176_jpg.rf.xesUBjlDMMK      1     0.6169     0.6169
  Image_179_jpg.rf.wxygTRdYO03     10     0.5480     0.6090
  Image_180_jpg.rf.oMpfWrAou7K      0     0.0000     0.0000
  Image_183_jpg.rf.3HO1hQ0SyOT     20     0.5571     0.6296
  Image_184_jpg.rf.vjfq6s8WXdb      5     0.5047     0.5614
  Image_185_jpeg.rf.dwxAVnlq8b      4     0.6222     0.6752
  Image_186_jpeg.rf.ZSxGWOwOuQ      1     0.7591     0.7591
  Image_187_jpeg.rf.TiyNJ4LfaL      4     0.5209     0.5493
  Image_188_jpeg.rf.C65t7LAorG      0     0.0000     0.0000
  Image_18_jpg.rf.usFw676F2MBA      0     0.0000     0.0000
  Image_190_jpg.rf.n365YMJxvzH      2     0.5133     0.5345
  Image_192_jpg.rf.NSNrUGsot62      4     0.5197     0.5485
  Image_19_jpg.rf.t7JDYRW2yrkB      1     0.5063     0.5063
  Image_1_jpg.rf.gD9dzMKnzFQzr      0     0.0000     0.0000
  Image_21_jpg.rf.o2ayPYpM69ty      5     0.5094     0.5435
  Image_23_png.rf.hWWVEyFDB38l      0     0.0000     0.0000
  Image_25_jpg.rf.aqiILRfL3tuI      0     0.0000     0.0000
  Image_26_jpg.rf.YZxCt7z44opW      0     0.0000     0.0000
  Image_27_jpg.rf.r0JOO5SzaEdO      2     0.4893     0.5188
  Image_28_jpg.rf.8gHCiQGJUD5U      4     0.5707     0.6211
  Image_29_jpg.rf.VN3BcILHKoey      0     0.0000     0.0000
  Image_2_jpg.rf.toh0DLHBhMdjK     10     0.5242     0.5517
  Image_30_jpg.rf.yrLsPn66Erh6      4     0.5700     0.6389
  Image_31_jpg.rf.1vLr8eSZ2pxI      4     0.5550     0.6088
  Image_32_jpg.rf.RZSkQGVkk8We      5     0.5959     0.6664
  Image_33_jpg.rf.241sTsfBOrQK      8     0.5077     0.5553
  Image_35_jpg.rf.dUEj4O40emFR      0     0.0000     0.0000
  Image_36_jpg.rf.fnSHzQWmbZWS     27     0.6070     0.6958
  Image_37_jpg.rf.2doXht8Hnoft      8     0.5155     0.5622
  Image_39_jpg.rf.w902xaqiEQdZ      1     0.5213     0.5213
  Image_44_jpg.rf.1pRepM76cR1q      2     0.5451     0.5600
  Image_48_jpg.rf.bhcJZsKEhY32      0     0.0000     0.0000
  Image_49_jpg.rf.1rJoDLWhawyS      1     0.4529     0.4529
  Image_4_jpg.rf.XfEqsH3GY7y7H      1     0.4591     0.4591
  Image_50_jpg.rf.pI0uvxZBQTeU      2     0.5398     0.5414
  Image_51_jpg.rf.vCAGwnPcaKM0      0     0.0000     0.0000
  Image_52_jpg.rf.uv5p088Sqorb      3     0.6087     0.6717
  Image_53_jpg.rf.LFoiY7c7h3MQ      6     0.5612     0.5954
  Image_54_jpg.rf.dhcvambmtkLa     18     0.6144     0.7134
  Image_55_jpg.rf.nwKrZV8MbMam      2     0.5264     0.5815
  Image_56_jpg.rf.uqCS51CN4wqj     40     0.5629     0.6406
  Image_57_jpg.rf.6FmR5uzRPXWG     14     0.5197     0.5938
  Image_58_jpg.rf.FR6Xg5WbuHzy      7     0.5851     0.6448
  Image_59_jpg.rf.7RYvHldg2nzx      4     0.5496     0.5914
  Image_5_jpg.rf.54SzRrjIeThNI      5     0.5006     0.5215
  Image_60_jpg.rf.u2gPTif2eqE9      6     0.5583     0.6334
  Image_61_jpg.rf.y8Z48ld2GEBT      9     0.6004     0.6529
  Image_62_jpg.rf.IymscFev6WtC      2     0.4831     0.5000
  Image_63_png.rf.tGRzccDEQOLH      7     0.5414     0.5769
  Image_64_jpg.rf.LCGykKX0paWN      0     0.0000     0.0000
  Image_65_jpg.rf.53yC1r3n9j6y      4     0.5436     0.6034
  Image_66_jpg.rf.DpWmagKArgwT      0     0.0000     0.0000
  Image_67_jpg.rf.OSPZTDKSbJqv      1     0.5312     0.5312
  Image_68_jpg.rf.l9aBlIA48dLB      1     0.5730     0.5730
  Image_69_jpg.rf.PVldWnedl7ux      0     0.0000     0.0000
  Image_6_jpg.rf.D3OJWaTLDuN7S      0     0.0000     0.0000
  Image_70_jpg.rf.cQn3NhZy1mT5      2     0.4890     0.5252
  Image_72_jpg.rf.M0Vdx6wBGtwb     22     0.5307     0.5892
  Image_73_jpg.rf.owqHgE3tESo9      1     0.6303     0.6303
  Image_74_jpg.rf.ow9gicGAwVsn      3     0.5772     0.5933
  Image_75_jpg.rf.lZeDQMmJPOB9      2     0.5102     0.5430
  Image_77_jpg.rf.4gnIpBpZ5IUT      6     0.5114     0.5645
  Image_78_jpg.rf.xjJ0NJhgdkIY      9     0.4932     0.6292
  Image_79_jpg.rf.nN4FptNMqyT8      2     0.5405     0.5632
  Image_7_jpg.rf.VusjWGOBbJQYA     24     0.5364     0.5905
  Image_80_jpg.rf.bKWEe5HCRikI     25     0.5643     0.6785
  Image_81_jpg.rf.32nwhMNp0Rbt      5     0.5014     0.5152
  Image_82_jpg.rf.pVeDURFrd0Ls      1     0.4634     0.4634
  Image_83_jpg.rf.HQizh8HfNFSW      1     0.5753     0.5753
  Image_84_jpg.rf.Zi4P8kDunpve      1     0.5385     0.5385
  Image_85_jpg.rf.hUW5PZFveHvE      4     0.4720     0.4896
  Image_86_jpg.rf.ucKcPON2jlBm      2     0.5813     0.5900
  Image_87_jpg.rf.PJWIGSFcD5QZ     11     0.5283     0.5848
  Image_88_jpg.rf.KdgKOCbfrmOu      0     0.0000     0.0000
  Image_8_jpg.rf.I5oi9GdhigCdM     17     0.5377     0.6779
  Image_90_jpg.rf.RfvVQVoWLM2N      0     0.0000     0.0000
  Image_91_jpg.rf.F2Nn36Y4fwaT      4     0.5809     0.5895
  Image_92_jpg.rf.Of3lo3RFQLAO      2     0.5467     0.6178
  Image_93_jpg.rf.qyUtj8W0BL9B     18     0.5249     0.6166
  Image_94_jpg.rf.Fy6LPeYvz4CL      4     0.5048     0.5541
  Image_95_jpg.rf.SiKeIrCcvJDw      8     0.5438     0.5658
  Image_96_jpg.rf.KTVPUT18ftuu      0     0.0000     0.0000
  Image_97_jpg.rf.NkdipCVKyocW      0     0.0000     0.0000
  Image_9_jpg.rf.hTPePfzHQZhu5     20     0.5618     0.6127
  Is_Saffron_More_Expensive_Th      1     0.4790     0.4790
  Pure_Saffron_webp.rf.UUkUQ7b      2     0.5390     0.5439
  Saffron-crocus-bloom-stigmas      6     0.5287     0.5514
  Saffron_Flower_2_pixabay_098     16     0.5068     0.5589
  Saffron_Plant_saffron_crocus      6     0.4918     0.5140
  U0WCfc2XbOtFjZUQFDfa6oYEaWMS      4     0.5568     0.5706
  V0rJjvdQrA4Y02ZlTJFW9rHHMnMk      2     0.5615     0.5814
  XB055_450x_webp.rf.3RlwtoNOL      2     0.4731     0.4918
  Z-CRO-08_jpg.rf.4jFdazbO22gG      2     0.5187     0.5187
  a-purple-saffron-flower-croc      0     0.0000     0.0000
  a-single-tender-saffron-flow      9     0.5294     0.6549
  a0d36be568d662c4869ce5469fd8      0     0.0000     0.0000
  a2e79a8e6629c59adfd4bc2cbe46      7     0.5101     0.5505
  abcdef1.jpg                      15     0.5363     0.6059
  abcdef2.jpg                       5     0.6365     0.6880
  abcdef3.jpg                       0     0.0000     0.0000
  abcdef4.jpg                      10     0.5686     0.6544
  abcdef5.jpg                       8     0.5007     0.5423
  acd8f9e8821defeaa18850c312f2     29     0.5064     0.5832
  adc9666bce53bef67d5412ff3b86      4     0.5056     0.5254
  autumn-crocus-3661690__340_j      0     0.0000     0.0000
  autumn-crocus-5626735__340_j      2     0.4929     0.4945
  autumn-crocus-5626735__340_j      2     0.4929     0.4945
  b1254d7be60fecece97817291c1a      0     0.0000     0.0000
  b1a122f41058b231ffbbb460a4dd      4     0.5074     0.5227
  b2af22f730fe920c428bcb733be8      0     0.0000     0.0000
  b3569950fc8a4c8afa048e025b0e      5     0.5137     0.5343
  b5a2db04bd33e701efd8f047d40e      2     0.5420     0.5829
  b6330ed4-9307-4dec-bba4-2539      4     0.5207     0.5479
  ba887462b31cfa4b0a2a0ad6461b      0     0.0000     0.0000
  bafc56e0039cd58877583828253c      0     0.0000     0.0000
  bb7b49c76accc879c47cf359028d      0     0.0000     0.0000
  bc0e33e9623ce11796ffde89ee68      0     0.0000     0.0000
  bc2e4395e299d54fb1703e684aa1      0     0.0000     0.0000
  beautiful-saffron-flowers-fi      5     0.5035     0.5301
  c7204c4d1406d33686d699215011      4     0.5109     0.5159
  c9236ccb74aa4b671b9b6fe7352a      0     0.0000     0.0000
  close-up-saffron-flowers-flo      1     0.4971     0.4971
  crocus-4073076__340_jpg.rf.k      4     0.5113     0.5369
  crocus-4073076__340_jpg.rf.o      4     0.5113     0.5369
  crocus-4878623__340_jpg.rf.1     22     0.5457     0.6983
  crocus-4878623__340_jpg.rf.R     20     0.5345     0.6751
  crocus-4878639__340_jpg.rf.n     22     0.5241     0.6773
  crocus-4878639__340_jpg.rf.y     22     0.5245     0.6774
  crocus-4896815__340--1-_jpg.     38     0.5370     0.6802
  crocus-4896815__340--1-_jpg.     41     0.5385     0.6806
  crocus-4918148__340_jpg.rf.9     42     0.5381     0.6225
  crocus-675490__340_jpg.rf.PB      0     0.0000     0.0000
  crocus-675490__340_jpg.rf.pv      0     0.0000     0.0000
  crocus-675492__340_jpg.rf.Hw      7     0.4961     0.5159
  crocus-675492__340_jpg.rf.Px      7     0.4962     0.5148
  crocus-sativus-saffron-crocu      3     0.5132     0.5555
  crocussativus_jpg.rf.kdjMopD      4     0.4886     0.5443
  d05da2d47493b44d41047e0a12cd      8     0.5548     0.6308
  d4e7266e9d0572647f4d25862aa1      5     0.5679     0.6254
  d7cc4c1a7f04af4aee901fdb5ebe      0     0.0000     0.0000
  d8ec9a5aec3dff998e4a555653a6      0     0.0000     0.0000
  depositphotos_4160941-stock-      0     0.0000     0.0000
  depositphotos_424504712-stoc      2     0.4648     0.4720
  depositphotos_4321438-stock-      0     0.0000     0.0000
  depositphotos_4557488-stock-      0     0.0000     0.0000
  depositphotos_57308167-stock     19     0.4799     0.5425
  depositphotos_57846159-stock      0     0.0000     0.0000
  dfagdf_jpg.rf.bnkIe0G57yf9hg      1     0.5072     0.5072
  dfc9f15e563b3396beff52dc42b4      0     0.0000     0.0000
  dffdgfdg_jpg.rf.Zc8RddZbuzmz      1     0.5438     0.5438
  dfgdfg_jpg.rf.F0lvKqv1N0JIcb      0     0.0000     0.0000
  dfgfdgdf_jpg.rf.0E01j3l3luDh      0     0.0000     0.0000
  dgbf_jpg.rf.ykqMxVUj7GQhwbM9     11     0.5426     0.6204
  dghn_jpg.rf.qdc4KZ7gJsDftCEd      2     0.4643     0.4762
  dghnbfxv_jpg.rf.jASFnIbHG1Qp      0     0.0000     0.0000
  dghnf_jpg.rf.oqWKlIEX0TJJxr7      3     0.5324     0.6155
  dghnfbxv_jpg.rf.kptm9L2G0P9G      0     0.0000     0.0000
  dhgn_jpg.rf.HsRhrJIUAAsPZ342      1     0.5235     0.5235
  dhgnfbx_jpg.rf.OMgcHMub2G3y2      8     0.5537     0.6105
  download--1-_jpg.rf.SEdt5ZIA      0     0.0000     0.0000
  download--10-_jpg.rf.kGuNN8g      1     0.4694     0.4694
  download--12-_jpg.rf.pKO33BH      1     0.4660     0.4660
  download--13-_jpg.rf.FJKwdC2      2     0.5404     0.5416
  download--14-_jpg.rf.kJfRQSt      3     0.5432     0.5923
  download--15-_jpg.rf.uOHmgZV      6     0.5097     0.5576
  download--16-_jpg.rf.LNeBFXJ      8     0.4797     0.5460
  download--17-_jpg.rf.mZFeSGZ     12     0.5743     0.6036
  download--18-_jpg.rf.NNjEgLN      0     0.0000     0.0000
  download--2-_jpg.rf.N6qknv8W      3     0.5192     0.5669
  download--21-_jpg.rf.FlUiNIm      0     0.0000     0.0000
  download--24-_jpg.rf.mApQw0g      2     0.5749     0.6290
  download--26-_jpg.rf.hqDRw6n      6     0.5383     0.5961
  download--28-_jpg.rf.qBMahJk      0     0.0000     0.0000
  download--8-_jpg.rf.AJzBMVLc      0     0.0000     0.0000
  download_webp.rf.rOmrQxhveTQ      3     0.4718     0.4991
  drtmsaffroncrocusa_webp.rf.y      3     0.5293     0.5326
  e174da79d2cebf1af28882909f40      0     0.0000     0.0000
  e3600af76276d89387e81207c36e      6     0.5369     0.5917
  e3c0b069ca73ffce30df030a9d01      1     0.4895     0.4895
  e5d5bec75b05a126b6ba85189fc1      3     0.5117     0.5460
  ea5fa6662837bec05a270b91531f      0     0.0000     0.0000
  ed80900a41c9212239685383d61b      4     0.4950     0.5128
  ergerg_jpg.rf.l6EB2WyZWN2mJN      1     0.5173     0.5173
  ergregr_jpg.rf.zv4JA76boXL2T      0     0.0000     0.0000
  f1d422b206952cbe2a6f3b5d1541      0     0.0000     0.0000
  f2ea4c26946a449b312421e2c749      2     0.5171     0.5201
  fdgdfda_jpg.rf.2YUcScO3zhkcj      0     0.0000     0.0000
  flower-4051007__340_jpg.rf.A      3     0.5031     0.5422
  flowers-6143044__340_jpg.rf.      6     0.5365     0.5881
  flowers-6143044__340_jpg.rf.      7     0.5291     0.5884
  gdagfg_jpg.rf.aQo62gaKh5HkJe      0     0.0000     0.0000
  gdfgdag_jpg.rf.fVcB2PLxWBts7     12     0.5101     0.5608
  gdhn_jpg.rf.H5G3cERCRIcZx9It      1     0.5424     0.5424
  ghdnbf_jpg.rf.TD45GVHfeH0LvY      2     0.5111     0.5712
  ghndbfvd_jpg.rf.DFeQHQ3U81HX      0     0.0000     0.0000
  gratis-png-azafran-de-otono-      0     0.0000     0.0000
  h44pxj3wids21_jpg.rf.g0TKhQg      1     0.6255     0.6255
  hdnf_jpg.rf.DPIWFppUEvLbXIMW      4     0.5364     0.6005
  hdngfb_jpg.rf.EOHCcK5NgimWoo      2     0.5037     0.5082
  hfgd_jpg.rf.bce2gPvErYYEqqPD      3     0.5007     0.5290
  hgdn_jpg.rf.j70LbB5juiWovFNe      3     0.5385     0.5816
  hgndf_jpg.rf.CIS5H1Z7qcHcp9T     13     0.5550     0.6128
  hrgfda_jpg.rf.I09g3WyEIsTTUy      1     0.5413     0.5413
  htygrs_jpg.rf.npn0IeJtDnAbzq      2     0.5470     0.5475
  iStock-1456843284-how-to-gro      1     0.4967     0.4967
  il_570xN-2999244286_mvac_web      0     0.0000     0.0000
  images---2022-08-07T114843-9      7     0.5134     0.5569
  images---2022-08-07T114844-0     21     0.5838     0.6382
  images---2022-08-07T114844-1      3     0.5197     0.5440
  images---2022-08-07T114844-2     17     0.5253     0.6158
  images---2022-08-07T114844-2     12     0.5506     0.6390
  images---2022-08-07T114844-2      1     0.5387     0.5387
  images---2022-08-07T114844-3      2     0.5890     0.6184
  images---2022-08-07T114844-3      5     0.5881     0.6406
  images---2022-08-07T114844-3      1     0.5030     0.5030
  images---2022-08-07T114844-4     10     0.5490     0.6085
  images---2022-08-07T114844-4      0     0.0000     0.0000
  images---2022-08-07T114844-4      0     0.0000     0.0000
  images---2022-08-07T114844-5      0     0.0000     0.0000
  images---2022-08-07T114844-6      2     0.5644     0.5807
  images---2022-08-07T114844-6      5     0.5336     0.5985
  images---2022-08-07T114844-7      2     0.5158     0.5522
  images---2022-08-07T114844-7     12     0.5593     0.6120
  images---2022-08-07T114844-7      8     0.5269     0.6161
  images---2022-08-07T114844-8      4     0.5479     0.6030
  images---2022-08-07T114844-8      0     0.0000     0.0000
  images---2022-08-07T114844-9      2     0.5575     0.6089
  images---2022-08-07T114844-9      9     0.5457     0.6046
  images---2022-08-07T114844-9      2     0.4846     0.4973
  images---2022-08-07T114845-0      4     0.4873     0.4961
  images---2022-08-07T114845-1      1     0.4925     0.4925
  images---2022-08-07T114845-1      3     0.4972     0.5394
  images---2022-08-07T114845-1     30     0.6127     0.6826
  images---2022-08-07T114845-2      0     0.0000     0.0000
  images---2022-08-07T114845-2      0     0.0000     0.0000
  images---2022-08-07T114845-2      1     0.5152     0.5152
  images---2022-08-07T114845-3     14     0.5485     0.5919
  images---2022-08-07T114845-4      0     0.0000     0.0000
  images---2022-08-07T114845-4      2     0.4995     0.5019
  images---2022-08-07T114845-5      8     0.5543     0.6493
  images---2022-08-07T114845-5      0     0.0000     0.0000
  images---2022-08-07T114845-6      3     0.5765     0.6110
  images---2022-08-07T114845-7      0     0.0000     0.0000
  images---2022-08-07T114845-8      9     0.5348     0.5988
  images---2022-08-07T114845-8      2     0.6428     0.6649
  images---2022-08-07T114845-8      0     0.0000     0.0000
  images---2022-08-07T114845-9      3     0.5160     0.5718
  images---2022-08-07T114845-9      1     0.4587     0.4587
  images---2022-08-07T114846-0      9     0.5901     0.6283
  images---2022-08-07T114846-0      4     0.5016     0.5184
  images---2022-08-07T114846-1      3     0.5936     0.6348
  images---2022-08-07T114846-1      3     0.5291     0.5774
  images---2022-08-07T114846-2      2     0.4694     0.4863
  images---2022-08-07T114846-3      2     0.4917     0.4976
  images---2022-08-07T114846-3      5     0.4880     0.5325
  images---2022-08-07T114846-4     28     0.6486     0.7018
  images---2022-08-07T114846-5      3     0.4891     0.5228
  images---2022-08-07T114846-5      1     0.4628     0.4628
  images---2022-08-07T114846-5      7     0.5314     0.5750
  images---2022-08-07T114846-6     15     0.4823     0.5486
  images---2022-08-07T114846-6      2     0.5785     0.6347
  images---2022-08-07T114846-7      3     0.4853     0.5337
  images---2022-08-07T114846-7      4     0.4852     0.5133
  images---2022-08-07T114846-8      0     0.0000     0.0000
  images---2022-08-07T114846-8      2     0.4808     0.4897
  images---2022-08-07T114846-9      4     0.5412     0.5996
  images---2022-08-07T114846-9     29     0.5734     0.6466
  images---2022-08-07T114846-9      0     0.0000     0.0000
  images---2022-08-07T114847-0     10     0.4966     0.5228
  images---2022-08-07T114847-0      0     0.0000     0.0000
  images---2022-08-07T114847-1      2     0.5329     0.5657
  images---2022-08-07T114847-1      5     0.4694     0.4881
  images---2022-08-07T114847-1     10     0.5195     0.5515
  images---2022-08-07T114847-2     19     0.5849     0.6646
  images---2022-08-07T114847-3      8     0.5492     0.6119
  images---2022-08-07T114847-4     39     0.5562     0.6040
  images---2022-08-07T114847-4      0     0.0000     0.0000
  images---2022-08-07T114847-5      2     0.5217     0.5252
  images---2022-08-07T114847-5      0     0.0000     0.0000
  images---2022-08-07T114847-5      1     0.5036     0.5036
  images---2022-08-07T114847-6      2     0.5128     0.5280
  images---2022-08-07T114847-7     25     0.5291     0.5875
  images---2022-08-07T114847-8     15     0.5605     0.6547
  images---2022-08-07T114847-9      4     0.6322     0.6765
  images---2022-08-07T114848-1      6     0.5277     0.5401
  images---2022-08-07T114848-1      2     0.4688     0.4757
  images---2022-08-07T114848-2      4     0.5510     0.6337
  images---2022-08-07T114848-2      0     0.0000     0.0000
  images---2022-08-07T114848-3      0     0.0000     0.0000
  images---2022-08-07T114848-3      2     0.5161     0.5649
  images---2022-08-07T114848-4      3     0.4991     0.5225
  images---2022-08-07T114848-4      0     0.0000     0.0000
  images---2022-08-07T114848-5      8     0.5373     0.6010
  images---2022-08-07T114848-5      5     0.4973     0.5871
  images---2022-08-07T114848-5     16     0.5861     0.6607
  images---2022-08-07T114848-6      5     0.5662     0.6257
  images---2022-08-07T114848-6     16     0.5154     0.5503
  images---2022-08-07T114848-6     11     0.5935     0.7019
  images---2022-08-07T114848-8     26     0.4903     0.5412
  images---2022-08-07T114848-8      1     0.5365     0.5365
  images---2022-08-07T114848-9      1     0.5084     0.5084
  images---2022-08-07T114849-0      0     0.0000     0.0000
  images---2022-08-07T114849-0     12     0.5724     0.6827
  images---2022-08-07T114849-0      2     0.5889     0.6045
  images---2022-08-07T114849-1      9     0.5002     0.5245
  images---2022-08-07T114849-1      0     0.0000     0.0000
  images---2022-08-07T114849-1      1     0.4531     0.4531
  images---2022-08-07T114849-2     27     0.5398     0.6338
  images---2022-08-07T114849-2      0     0.0000     0.0000
  images---2022-08-07T114849-3      2     0.6124     0.6345
  images---2022-08-07T114849-3     10     0.5101     0.5886
  images---2022-08-07T114849-4      7     0.5042     0.5433
  images---2022-08-07T114849-4      7     0.5564     0.5998
  images---2022-08-07T114849-4      3     0.6045     0.6668
  images---2022-08-07T114849-5     10     0.4959     0.5376
  images---2022-08-07T114849-6      0     0.0000     0.0000
  images---2022-08-07T114849-6      5     0.5207     0.5818
  images---2022-08-07T114849-7      7     0.5106     0.5432
  images---2022-08-07T114849-7      2     0.5075     0.5190
  images---2022-08-07T114849-7      5     0.4942     0.5524
  images---2022-08-07T114849-8      0     0.0000     0.0000
  images---2022-08-07T114849-8      0     0.0000     0.0000
  images---2022-08-07T114849-9      9     0.4951     0.5612
  images---2022-08-07T114849-9      1     0.4934     0.4934
  images---2022-08-07T114849-9      2     0.5595     0.6389
  images---2022-08-07T114850-0      0     0.0000     0.0000
  images---2022-08-07T114850-0      5     0.5307     0.5895
  images---2022-08-07T114850-0      1     0.4989     0.4989
  images---2022-08-07T114850-0     16     0.5202     0.6025
  images---2022-08-07T114850-1      0     0.0000     0.0000
  images---2022-08-07T114850-3      3     0.4707     0.4855
  images---2022-08-07T114850-3      3     0.5639     0.6254
  images---2022-08-07T114850-4      0     0.0000     0.0000
  images---2022-08-07T114850-4      2     0.4620     0.4677
  images---2022-08-07T114850-5      0     0.0000     0.0000
  images---2022-08-07T114850-5      0     0.0000     0.0000
  images---2022-08-07T114850-6      1     0.4507     0.4507
  images---2022-08-07T114850-7     25     0.5556     0.6154
  images---2022-08-07T114850-7      4     0.5830     0.6157
  images---2022-08-07T114850-7      3     0.4759     0.4989
  images---2022-08-07T114850-8      1     0.4824     0.4824
  images---2022-08-07T114850-8      2     0.5609     0.5958
  images---2022-08-07T114850-9      3     0.4968     0.5222
  images---2022-08-07T114850-9      1     0.5172     0.5172
  images---2022-08-07T114851-0      2     0.5431     0.6222
  images---2022-08-07T114851-1     25     0.5437     0.6790
  images---2022-08-07T114851-1     14     0.5341     0.5655
  images---2022-08-07T114851-1      1     0.6060     0.6060
  images---2022-08-07T114851-1      1     0.5175     0.5175
  images---2022-08-07T114851-2      6     0.4878     0.5245
  images---2022-08-07T114851-2      0     0.0000     0.0000
  images---2022-08-07T114851-3      8     0.5215     0.5853
  images---2022-08-07T114851-3      7     0.4727     0.5078
  images---2022-08-07T114851-4     20     0.5477     0.6876
  images---2022-08-07T114851-4      0     0.0000     0.0000
  images---2022-08-07T114851-5      0     0.0000     0.0000
  images---2022-08-07T114851-5     11     0.5095     0.5362
  images---2022-08-07T114851-6      1     0.5506     0.5506
  images---2022-08-07T114851-7      1     0.6018     0.6018
  images---2022-08-07T114851-7      4     0.5695     0.6016
  images---2022-08-07T114851-8      2     0.5159     0.5631
  images---2022-08-07T114851-9      9     0.5377     0.5886
  images---2022-08-07T114852-1      3     0.4839     0.5215
  images---2022-08-07T114852-1      6     0.5699     0.6009
  images---2022-08-07T114852-2      2     0.4824     0.5031
  images---2022-08-07T114852-3      5     0.5490     0.6024
  images---2022-08-07T114852-3      0     0.0000     0.0000
  images---2022-08-07T114852-4      2     0.5385     0.5390
  images---2022-08-07T114852-4      0     0.0000     0.0000
  images---2022-08-07T114852-4      1     0.5537     0.5537
  images---2022-08-07T114852-5      1     0.4896     0.4896
  images---2022-08-07T114852-6      2     0.4903     0.5271
  images---2022-08-07T114852-7      1     0.5146     0.5146
  images---2022-08-07T114852-7      3     0.4930     0.5232
  images---2022-08-07T114852-8     18     0.5594     0.6293
  images---2022-08-07T114852-9     21     0.5568     0.6765
  images---2022-08-07T114852-9      0     0.0000     0.0000
  images---2022-08-07T114853-0      6     0.4981     0.5203
  images---2022-08-07T114853-1      3     0.5031     0.5138
  images---2022-08-07T114853-1      5     0.5067     0.5506
  images---2022-08-07T114853-1      1     0.5050     0.5050
  images---2022-08-07T114853-2      0     0.0000     0.0000
  images---2022-08-07T114853-2      3     0.5295     0.5817
  images---2022-08-07T114853-2      3     0.5406     0.5536
  images---2022-08-07T114853-2     12     0.5500     0.6172
  images---2022-08-07T114853-3      4     0.5301     0.6485
