Saffron Detection Run — 20260526_134507
Mode            : real
Scenes          : 1111
Total detected  : 6096
Mean detected   : 5.5
Mean avg score  : 0.4014
Highest score   : 0.7591
Best scene      : Image_151_jpg.rf.spV9r9WrtXpibKOiJoFo.jpg
Threshold       : 0.45
Ensemble weights: RF=0.35, CNN=0.35, HSV=0.2, Depth=0.1

Scene                             Det   AvgScore   MaxScore
  240_F_179442236_hSCIuD62p7fp      8     0.5567     0.6327
  240_F_179442236_hSCIuD62p7fp      8     0.5567     0.6327
  240_F_179442315_kToephS8Z9Ff      4     0.4868     0.5246
  240_F_179442315_kToephS8Z9Ff      4     0.4918     0.5246
  240_F_179442320_cIhjlhyBfPqh     16     0.5370     0.6211
  240_F_179442596_n2u4nbR8CAAy      7     0.4745     0.4842
  240_F_179442596_n2u4nbR8CAAy      7     0.4745     0.4842
  240_F_179442724_A4shTwPzDL5Q      7     0.5254     0.6157
  240_F_179442724_A4shTwPzDL5Q      7     0.5252     0.6157
  240_F_179442793_j2mma4bChqwf      2     0.4899     0.5155
  240_F_179442793_j2mma4bChqwf      2     0.4896     0.5155
  240_F_179442854_YgrEC199KEza      0     0.0000     0.0000
  240_F_179442854_YgrEC199KEza      0     0.0000     0.0000
  240_F_179442939_vLS1fyXiwdDs     17     0.5290     0.6069
  240_F_179443021_iOzuwC4NpATp      7     0.5629     0.6422
  240_F_179443109_xQXXKkvEWBer      6     0.5684     0.6556
  240_F_179443109_xQXXKkvEWBer      6     0.5682     0.6556
  240_F_179443175_RB0e5QYJb2aA      9     0.5311     0.6165
  240_F_179443316_6c16ivU92VGk     10     0.5566     0.6258
  240_F_179443325_g1FwrwFR1mOj     13     0.5059     0.5971
  240_F_179443799_XmfivqHXN3oI      1     0.4843     0.4843
  240_F_179443799_XmfivqHXN3oI      1     0.4843     0.4843
  240_F_179444028_vq0kbJ173S1a      0     0.0000     0.0000
  240_F_179444028_vq0kbJ173S1a      0     0.0000     0.0000
  240_F_179444537_S6m77gNelUTs      2     0.4810     0.5070
  240_F_179444537_S6m77gNelUTs      2     0.4810     0.5070
  240_F_179444648_9u3ScPfG6O1O      4     0.5834     0.6294
  240_F_179444648_9u3ScPfG6O1O      3     0.5640     0.6101
  240_F_179444717_hgbiLeDkcIBu      6     0.5462     0.6036
  240_F_179444717_hgbiLeDkcIBu      6     0.5453     0.6018
  240_F_229425327_mzgM6Q8AmykF     14     0.5395     0.5794
  240_F_229428737_XnBSJi3dEqBD      8     0.5522     0.6112
  240_F_229428758_F3opSdVHedBP      0     0.0000     0.0000
  240_F_233532094_C7U4853pL0OF      5     0.5001     0.5664
  240_F_233532094_C7U4853pL0OF      5     0.5001     0.5664
  240_F_236280154_O6B0AgQll63D      0     0.0000     0.0000
  240_F_236280154_O6B0AgQll63D      0     0.0000     0.0000
  240_F_237489282_sboy2EVsB9Gq      1     0.4802     0.4802
  240_F_237718412_wiVSHkxq5xL5      2     0.4884     0.4982
  240_F_237718412_wiVSHkxq5xL5      2     0.4884     0.4982
  240_F_238867184_qVGH3HT5M9AE      4     0.5745     0.6750
  240_F_238867184_qVGH3HT5M9AE      4     0.5832     0.6978
  240_F_248928189_zvYNxNsswPjE      0     0.0000     0.0000
  240_F_262745847_nMhYsQOCzCMd      0     0.0000     0.0000
  240_F_262745925_pwwfnZG6vRJP      2     0.4747     0.4767
  240_F_276069776_KihDnsUmOQ0a      5     0.5056     0.5363
  240_F_276069776_KihDnsUmOQ0a      5     0.5051     0.5363
  240_F_276069816_mwal87gatkAn      8     0.5103     0.5471
  240_F_276069816_mwal87gatkAn      8     0.5103     0.5471
  240_F_291291202_2vlaU0r33GEp      2     0.5590     0.5616
  240_F_291291306_pbJQhqoPfgZO      0     0.0000     0.0000
  240_F_291291306_pbJQhqoPfgZO      0     0.0000     0.0000
  240_F_296545708_jGH52yxeGaUG      6     0.5353     0.5676
  240_F_296545708_jGH52yxeGaUG      6     0.5345     0.5630
  240_F_296545772_g7fYX0dbPbnV     13     0.6115     0.6847
  240_F_296545772_g7fYX0dbPbnV     13     0.6119     0.6845
  240_F_301814549_wpa7RPxycIFY     15     0.5421     0.6587
  240_F_301814762_HTDn3Wi62dDH     15     0.6039     0.7007
  240_F_301814762_HTDn3Wi62dDH     14     0.6049     0.6998
  240_F_301814767_rP6ZKhks5U0Q     21     0.5902     0.6927
  240_F_301814767_rP6ZKhks5U0Q     20     0.5919     0.6975
  240_F_302675349_LXEahpnzEiGD      0     0.0000     0.0000
  240_F_302675349_LXEahpnzEiGD      0     0.0000     0.0000
  240_F_302675497_qdrbQx6EomNY      2     0.5705     0.6322
  240_F_302675497_qdrbQx6EomNY      2     0.5737     0.6380
  240_F_302675544_dOeMVi8krHDo      2     0.5207     0.5476
  240_F_302675544_dOeMVi8krHDo      1     0.5481     0.5481
  240_F_302675562_a0VAzbCJRFNW      2     0.4783     0.5014
  240_F_302675562_a0VAzbCJRFNW      2     0.4787     0.5000
  240_F_302675605_c5ixXop5Z27Y      2     0.5144     0.5549
  240_F_302675605_c5ixXop5Z27Y      2     0.5126     0.5503
  240_F_311446508_UHc1pWntrEKI      2     0.4844     0.4949
  240_F_311446508_UHc1pWntrEKI      2     0.4844     0.4949
  240_F_311446544_SpoyPnpAxlb7      0     0.0000     0.0000
  240_F_313165893_l17vHX4RBVkA      1     0.5558     0.5558
  240_F_313165893_l17vHX4RBVkA      1     0.5732     0.5732
  240_F_313614827_s4CutXhhvUvq      3     0.5047     0.5182
  240_F_313614827_s4CutXhhvUvq      2     0.5079     0.5180
  240_F_314595414_ywJehivWZKSE      4     0.4889     0.5162
  240_F_315095284_Bi28XJods1z1      0     0.0000     0.0000
  240_F_315095284_Bi28XJods1z1      0     0.0000     0.0000
  240_F_316302986_RaBM9WTta2SO      2     0.4580     0.4647
  240_F_316302986_RaBM9WTta2SO      2     0.4570     0.4628
  240_F_318895063_R3kwN5tmDFXt      1     0.4514     0.4514
  240_F_318895063_R3kwN5tmDFXt      1     0.4514     0.4514
  240_F_318895350_Qah42iBCjIFb      9     0.5151     0.5559
  240_F_318895350_Qah42iBCjIFb     10     0.5092     0.5521
  240_F_322084802_XxXd85uwa6Hk      7     0.5584     0.6353
  240_F_322084802_XxXd85uwa6Hk      9     0.5509     0.6314
  240_F_323769192_bgmmPMLZpelx      1     0.5748     0.5748
  240_F_323769192_bgmmPMLZpelx      1     0.5816     0.5816
  240_F_323769228_NzFVkCxHSyCs      1     0.5161     0.5161
  240_F_323769228_NzFVkCxHSyCs      1     0.5189     0.5189
  240_F_336427229_sX8RjyocPmJN      8     0.4846     0.5254
  240_F_336427229_sX8RjyocPmJN      8     0.4854     0.5254
  240_F_396535141_4IdzQZnHN8eE      2     0.5827     0.6555
  240_F_396535141_4IdzQZnHN8eE      2     0.5767     0.6436
  240_F_396535584_ziis5nT5i3h3     24     0.5222     0.6260
  240_F_396535584_ziis5nT5i3h3     25     0.5227     0.6256
  240_F_396535766_Z2hqdgQhVM9T     17     0.5399     0.6466
  240_F_396535766_Z2hqdgQhVM9T     16     0.5383     0.6466
  240_F_396535796_LQaKFY9ZoBGH      7     0.5160     0.5685
  240_F_427857448_nvPH1PwDzFBJ     13     0.4950     0.5342
  240_F_427857448_nvPH1PwDzFBJ     14     0.4941     0.5342
  240_F_427857474_BChX1pSYlfjF     41     0.5211     0.5963
  240_F_427857474_BChX1pSYlfjF     41     0.5211     0.5963
  240_F_427857506_Lg15gXNdQM0i      9     0.5084     0.5610
  240_F_427857506_Lg15gXNdQM0i      9     0.5084     0.5610
  240_F_427857736_BFGLmVBETUiT      0     0.0000     0.0000
  240_F_427857765_Q8Xes7gDCQ7O      0     0.0000     0.0000
  240_F_427857765_Q8Xes7gDCQ7O      0     0.0000     0.0000
  240_F_463103593_IJDrRrYeScSf      0     0.0000     0.0000
  240_F_467509272_bAIsmTDHgerv      6     0.5041     0.5597
  240_F_467509272_bAIsmTDHgerv      6     0.5058     0.5609
  240_F_621213903_SBHsy38t0vJN      0     0.0000     0.0000
  240_F_72644822_xw8H0BORb5C4r      1     0.4740     0.4740
  240_F_72644822_xw8H0BORb5C4r      1     0.4740     0.4740
  240_F_72684199_go7Y3a1x3zMZI     31     0.5201     0.6240
  240_F_72684199_go7Y3a1x3zMZI     31     0.5199     0.6240
  240_F_72988752_nQHg9YUwPq2oZ      0     0.0000     0.0000
  240_F_72988752_nQHg9YUwPq2oZ      0     0.0000     0.0000
  240_F_72988783_T1AHgT38QpT2p      0     0.0000     0.0000
